rgn_id,plant,year,score
1,ashqelon,2008,0.148666667
1,ashqelon,2009,0.150666667
1,ashqelon,2010,0.16
1,ashqelon,2011,0.16
1,ashqelon,2012,0.16
1,ashqelon,2013,0.16
1,hadera,2008,0
1,hadera,2009,0.026666667
1,hadera,2010,0.16
1,hadera,2011,0.169333333
1,hadera,2012,0.193333333
1,hadera,2013,0.193333333
1,palmachim,2008,0.04
1,palmachim,2009,0.049333333
1,palmachim,2010,0.06
1,palmachim,2011,0.064
1,palmachim,2012,0.062666667
1,palmachim,2013,0.1
1,soreq,2008,0
1,soreq,2009,0
1,soreq,2010,0
1,soreq,2011,0
1,soreq,2012,0
1,soreq,2013,0.1
2,ashqelon,2008,0.148666667
2,ashqelon,2009,0.150666667
2,ashqelon,2010,0.16
2,ashqelon,2011,0.16
2,ashqelon,2012,0.16
2,ashqelon,2013,0.16
2,hadera,2008,0
2,hadera,2009,0.026666667
2,hadera,2010,0.16
2,hadera,2011,0.169333333
2,hadera,2012,0.193333333
2,hadera,2013,0.193333333
2,palmachim,2008,0.04
2,palmachim,2009,0.049333333
2,palmachim,2010,0.06
2,palmachim,2011,0.064
2,palmachim,2012,0.062666667
2,palmachim,2013,0.1
2,soreq,2008,0
2,soreq,2009,0
2,soreq,2010,0
2,soreq,2011,0
2,soreq,2012,0
2,soreq,2013,0.1
3,ashqelon,2008,0.148666667
3,ashqelon,2009,0.150666667
3,ashqelon,2010,0.16
3,ashqelon,2011,0.16
3,ashqelon,2012,0.16
3,ashqelon,2013,0.16
3,hadera,2008,0
3,hadera,2009,0.026666667
3,hadera,2010,0.16
3,hadera,2011,0.169333333
3,hadera,2012,0.193333333
3,hadera,2013,0.193333333
3,palmachim,2008,0.04
3,palmachim,2009,0.049333333
3,palmachim,2010,0.06
3,palmachim,2011,0.064
3,palmachim,2012,0.062666667
3,palmachim,2013,0.1
3,soreq,2008,0
3,soreq,2009,0
3,soreq,2010,0
3,soreq,2011,0
3,soreq,2012,0
3,soreq,2013,0.1
4,ashqelon,2008,0.148666667
4,ashqelon,2009,0.150666667
4,ashqelon,2010,0.16
4,ashqelon,2011,0.16
4,ashqelon,2012,0.16
4,ashqelon,2013,0.16
4,hadera,2008,0
4,hadera,2009,0.026666667
4,hadera,2010,0.16
4,hadera,2011,0.169333333
4,hadera,2012,0.193333333
4,hadera,2013,0.193333333
4,palmachim,2008,0.04
4,palmachim,2009,0.049333333
4,palmachim,2010,0.06
4,palmachim,2011,0.064
4,palmachim,2012,0.062666667
4,palmachim,2013,0.1
4,soreq,2008,0
4,soreq,2009,0
4,soreq,2010,0
4,soreq,2011,0
4,soreq,2012,0
4,soreq,2013,0.1
5,ashqelon,2008,0.148666667
5,ashqelon,2009,0.150666667
5,ashqelon,2010,0.16
5,ashqelon,2011,0.16
5,ashqelon,2012,0.16
5,ashqelon,2013,0.16
5,hadera,2008,0
5,hadera,2009,0.026666667
5,hadera,2010,0.16
5,hadera,2011,0.169333333
5,hadera,2012,0.193333333
5,hadera,2013,0.193333333
5,palmachim,2008,0.04
5,palmachim,2009,0.049333333
5,palmachim,2010,0.06
5,palmachim,2011,0.064
5,palmachim,2012,0.062666667
5,palmachim,2013,0.1
5,soreq,2008,0
5,soreq,2009,0
5,soreq,2010,0
5,soreq,2011,0
5,soreq,2012,0
5,soreq,2013,0.1
6,ashqelon,2008,0.148666667
6,ashqelon,2009,0.150666667
6,ashqelon,2010,0.16
6,ashqelon,2011,0.16
6,ashqelon,2012,0.16
6,ashqelon,2013,0.16
6,hadera,2008,0
6,hadera,2009,0.026666667
6,hadera,2010,0.16
6,hadera,2011,0.169333333
6,hadera,2012,0.193333333
6,hadera,2013,0.193333333
6,palmachim,2008,0.04
6,palmachim,2009,0.049333333
6,palmachim,2010,0.06
6,palmachim,2011,0.064
6,palmachim,2012,0.062666667
6,palmachim,2013,0.1
6,soreq,2008,0
6,soreq,2009,0
6,soreq,2010,0
6,soreq,2011,0
6,soreq,2012,0
6,soreq,2013,0.1
