rgn_id,year,score
1,2008,0.628571429
1,2009,0.641954887
1,2010,0.649924812
1,2011,0.671428571
1,2012,0.665864662
2,2008,0.628571429
2,2009,0.641954887
2,2010,0.649924812
2,2011,0.671428571
2,2012,0.665864662
3,2008,0.628571429
3,2009,0.641954887
3,2010,0.649924812
3,2011,0.671428571
3,2012,0.665864662
4,2008,0.628571429
4,2009,0.641954887
4,2010,0.649924812
4,2011,0.671428571
4,2012,0.665864662
5,2008,0.628571429
5,2009,0.641954887
5,2010,0.649924812
5,2011,0.671428571
5,2012,0.665864662
6,2008,0.628571429
6,2009,0.641954887
6,2010,0.649924812
6,2011,0.671428571
6,2012,0.665864662
