"rgn_id","year","rev_sum","rev_first","x_eco"
1,2009,1629.678258,1629.678258,100
1,2010,1801.407413,1629.678258,100
1,2011,1971.061828,1629.678258,100
1,2012,1930.51549,1629.678258,100
1,2013,2142.968817,1629.678258,100
2,2009,2186.267308,2186.267308,100
2,2010,2416.647651,2186.267308,100
2,2011,2644.244662,2186.267308,100
2,2012,2589.850408,2186.267308,100
2,2013,2874.863576,2186.267308,100
3,2009,3433.697888,3433.697888,100
3,2010,3795.527612,3433.697888,100
3,2011,4152.985904,3433.697888,100
3,2012,4067.55562,3433.697888,100
3,2013,4515.190322,3433.697888,100
4,2009,15407.51279,15407.51279,100
4,2010,17031.09654,15407.51279,100
4,2011,18635.06503,15407.51279,100
4,2012,18251.72665,15407.51279,100
4,2013,20260.33009,15407.51279,100
5,2009,2263.489307,2263.489307,100
5,2010,2502.007004,2263.489307,100
5,2011,2737.643058,2263.489307,100
5,2012,2681.327523,2263.489307,100
5,2013,2976.407753,2263.489307,100
6,2009,2571.35445,2571.35445,100
6,2010,2842.313778,2571.35445,100
6,2011,3109.999521,2571.35445,100
6,2012,3046.024312,2571.35445,100
6,2013,3381.239442,2571.35445,100
