"rgn_id","species","species_code","sust_coeff","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
1,"Barramundi(=Giant seaperch)",93,0.444010417,0,48,66,0,15,90,115,100,67,70,70,70
1,"Cupped oysters nei",684,0.888095238,0,0,0,0,2,1,0,0,0,0,0,0
1,"European seabass",94,0.452222222,0,123,39,110,180,193,122,20,186,190,200,200
1,"European seabass",685,0.452222222,150,214,346,251,169,6,36,6,11,1,0,0
1,"Gilthead seabream",95,0.286111111,0,0,0,0,0,181,72,17,139,140,140,140
1,"Gilthead seabream",686,0.286111111,2511,2688,2561,2546,2860,3185,2641,2187,2208,932,1100,1300
1,"Marine fishes nei",96,0.477777778,0,0,0,0,0,0,0,300,0,72,75,156
1,"Marine fishes nei",687,0.477777778,16,80,9,4,3,2,6,2,2,2,5,5
1,"Red drum",97,0.366666667,0,190,107,140,323,295,350,345,387,390,390,390
1,"Red drum",688,0.366666667,197,109,140,298,315,2,42,36,40,69,70,70
1,"Striped bass, hybrid",689,0.444010417,40,70,0,10,5,0,0,0,0,0,0,0
2,"Barramundi(=Giant seaperch)",93,0.444010417,0,48,66,0,15,90,115,100,67,70,70,70
2,"Cupped oysters nei",684,0.888095238,0,0,0,0,2,1,0,0,0,0,0,0
2,"European seabass",94,0.452222222,0,123,39,110,180,193,122,20,186,190,200,200
2,"European seabass",685,0.452222222,150,214,346,251,169,6,36,6,11,1,0,0
2,"Gilthead seabream",95,0.286111111,0,0,0,0,0,181,72,17,139,140,140,140
2,"Gilthead seabream",686,0.286111111,2511,2688,2561,2546,2860,3185,2641,2187,2208,932,1100,1300
2,"Marine fishes nei",96,0.477777778,0,0,0,0,0,0,0,300,0,72,75,156
2,"Marine fishes nei",687,0.477777778,16,80,9,4,3,2,6,2,2,2,5,5
2,"Red drum",97,0.366666667,0,190,107,140,323,295,350,345,387,390,390,390
2,"Red drum",688,0.366666667,197,109,140,298,315,2,42,36,40,69,70,70
2,"Striped bass, hybrid",689,0.444010417,40,70,0,10,5,0,0,0,0,0,0,0
3,"Barramundi(=Giant seaperch)",93,0.444010417,0,48,66,0,15,90,115,100,67,70,70,70
3,"Cupped oysters nei",684,0.888095238,0,0,0,0,2,1,0,0,0,0,0,0
3,"European seabass",94,0.452222222,0,123,39,110,180,193,122,20,186,190,200,200
3,"European seabass",685,0.452222222,150,214,346,251,169,6,36,6,11,1,0,0
3,"Gilthead seabream",95,0.286111111,0,0,0,0,0,181,72,17,139,140,140,140
3,"Gilthead seabream",686,0.286111111,2511,2688,2561,2546,2860,3185,2641,2187,2208,932,1100,1300
3,"Marine fishes nei",96,0.477777778,0,0,0,0,0,0,0,300,0,72,75,156
3,"Marine fishes nei",687,0.477777778,16,80,9,4,3,2,6,2,2,2,5,5
3,"Red drum",97,0.366666667,0,190,107,140,323,295,350,345,387,390,390,390
3,"Red drum",688,0.366666667,197,109,140,298,315,2,42,36,40,69,70,70
3,"Striped bass, hybrid",689,0.444010417,40,70,0,10,5,0,0,0,0,0,0,0
4,"Barramundi(=Giant seaperch)",93,0.444010417,0,48,66,0,15,90,115,100,67,70,70,70
4,"Cupped oysters nei",684,0.888095238,0,0,0,0,2,1,0,0,0,0,0,0
4,"European seabass",94,0.452222222,0,123,39,110,180,193,122,20,186,190,200,200
4,"European seabass",685,0.452222222,150,214,346,251,169,6,36,6,11,1,0,0
4,"Gilthead seabream",95,0.286111111,0,0,0,0,0,181,72,17,139,140,140,140
4,"Gilthead seabream",686,0.286111111,2511,2688,2561,2546,2860,3185,2641,2187,2208,932,1100,1300
4,"Marine fishes nei",96,0.477777778,0,0,0,0,0,0,0,300,0,72,75,156
4,"Marine fishes nei",687,0.477777778,16,80,9,4,3,2,6,2,2,2,5,5
4,"Red drum",97,0.366666667,0,190,107,140,323,295,350,345,387,390,390,390
4,"Red drum",688,0.366666667,197,109,140,298,315,2,42,36,40,69,70,70
4,"Striped bass, hybrid",689,0.444010417,40,70,0,10,5,0,0,0,0,0,0,0
5,"Barramundi(=Giant seaperch)",93,0.444010417,0,48,66,0,15,90,115,100,67,70,70,70
5,"Cupped oysters nei",684,0.888095238,0,0,0,0,2,1,0,0,0,0,0,0
5,"European seabass",94,0.452222222,0,123,39,110,180,193,122,20,186,190,200,200
5,"European seabass",685,0.452222222,150,214,346,251,169,6,36,6,11,1,0,0
5,"Gilthead seabream",95,0.286111111,0,0,0,0,0,181,72,17,139,140,140,140
5,"Gilthead seabream",686,0.286111111,2511,2688,2561,2546,2860,3185,2641,2187,2208,932,1100,1300
5,"Marine fishes nei",96,0.477777778,0,0,0,0,0,0,0,300,0,72,75,156
5,"Marine fishes nei",687,0.477777778,16,80,9,4,3,2,6,2,2,2,5,5
5,"Red drum",97,0.366666667,0,190,107,140,323,295,350,345,387,390,390,390
5,"Red drum",688,0.366666667,197,109,140,298,315,2,42,36,40,69,70,70
5,"Striped bass, hybrid",689,0.444010417,40,70,0,10,5,0,0,0,0,0,0,0
6,"Barramundi(=Giant seaperch)",93,0.444010417,0,48,66,0,15,90,115,100,67,70,70,70
6,"Cupped oysters nei",684,0.888095238,0,0,0,0,2,1,0,0,0,0,0,0
6,"European seabass",94,0.452222222,0,123,39,110,180,193,122,20,186,190,200,200
6,"European seabass",685,0.452222222,150,214,346,251,169,6,36,6,11,1,0,0
6,"Gilthead seabream",95,0.286111111,0,0,0,0,0,181,72,17,139,140,140,140
6,"Gilthead seabream",686,0.286111111,2511,2688,2561,2546,2860,3185,2641,2187,2208,932,1100,1300
6,"Marine fishes nei",96,0.477777778,0,0,0,0,0,0,0,300,0,72,75,156
6,"Marine fishes nei",687,0.477777778,16,80,9,4,3,2,6,2,2,2,5,5
6,"Red drum",97,0.366666667,0,190,107,140,323,295,350,345,387,390,390,390
6,"Red drum",688,0.366666667,197,109,140,298,315,2,42,36,40,69,70,70
6,"Striped bass, hybrid",689,0.444010417,40,70,0,10,5,0,0,0,0,0,0,0
