"","score","status","future","trend","pressures","resilience"
"Index",56.36,NA,58.38,NA,NA,NA
"Food Provision",15.77,14.7,16.85,0,NA,NA
". Fisheries",16.03,15,17.05,0,22.64,64.11
". Mariculture",14.88,13.63,16.13,0.01,24.85,78.86
"Artisanal Fishing Opportunity",24.74,23.33,26.15,-0.03,21.58,64.25
"Natural Products",NA,46.27,NA,0.06,NA,61.88
"Coastal Protection",NA,50.44,NA,0,NA,61.22
"Tourism & Recreation",38.95,37.3,40.6,-0.03,48.28,80.94
"Coastal Livelihoods & Economies",99.86,99.73,100,0.99,NA,NA
". Livelihoods",99.73,99.46,100,0.98,48.28,42.96
". Economies",100,100,100,1,37.65,64.44
"Sense of Place",43.06,39.75,46.37,0.15,NA,NA
". Iconic Species",42.33,46,38.67,-0.43,30,68.71
". Lasting Special Places",43.78,33.49,54.08,0.74,38.34,75.26
"Clean Waters",77.25,71.01,83.5,0.17,62.39,80.94
"Biodiversity",94.86,94.52,95.19,-0.09,NA,NA
". Habitats",99.19,98.37,100,-0.01,20.7,69.41
". Species",90.53,90.68,90.38,-0.18,30.45,66.28
